Horizon,item,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6
H2,Rank,SVR_Iter,SVR_Dir,SVR_MIMO,MLP_MIMO,MLP_Dir,MLP_Iter
H2,Sig,,,*>SVR_Iter,"*>SVR_Iter
*>SVR_Dir","*>SVR_Iter
*>SVR_Dir
*>SVR_MIMO","*>SVR_Iter
*>SVR_Dir
*>SVR_MIMO"
H3,Rank,SVR_Iter,SVR_MIMO,SVR_Dir,MLP_MIMO,MLP_Dir,MLP_Iter
H3,Sig,,,*>SVR_Iter,*>SVR_Iter,"*>SVR_Iter
*>SVR_MIMO","*>SVR_Iter
*>SVR_MIMO
*>SVR_Dir
*>MLP_MIMO"
H4,Rank,SVR_MIMO,SVR_Iter,SVR_Dir,MLP_Dir,MLP_MIMO,MLP_Iter
H4,Sig,,,"*>SVR_MIMO
*>SVR_Iter","*>SVR_MIMO
*>SVR_Iter","*>SVR_MIMO
*>SVR_Iter","*>SVR_MIMO
*>SVR_Iter
*>SVR_Dir"
H5,Rank,SVR_MIMO,SVR_Iter,SVR_Dir,MLP_MIMO,MLP_Dir,MLP_Iter
H5,Sig,,,"*>SVR_MIMO
*>SVR_Iter",,"*>SVR_MIMO
*>SVR_Iter","*>SVR_MIMO
*>SVR_Iter
*>SVR_Dir
*>MLP_MIMO"
H6,Rank,SVR_Iter,SVR_MIMO,SVR_Dir,MLP_Dir,MLP_MIMO,MLP_Iter
H6,Sig,,,*>SVR_Iter,"*>SVR_Iter
*>SVR_MIMO","*>SVR_Iter
*>SVR_MIMO","*>SVR_Iter
*>SVR_MIMO
*>SVR_Dir"
H7,Rank,SVR_MIMO,SVR_Iter,SVR_Dir,MLP_MIMO,MLP_Dir,MLP_Iter
H7,Sig,,,"*>SVR_MIMO
*>SVR_Iter",,"*>SVR_MIMO
*>SVR_Iter","*>SVR_MIMO
*>SVR_Iter
*>SVR_Dir
*>MLP_MIMO"
H8,Rank,SVR_MIMO,SVR_Iter,MLP_MIMO,SVR_Dir,MLP_Dir,MLP_Iter
H8,Sig,,,*>SVR_MIMO,*>SVR_MIMO,"*>SVR_MIMO
*>SVR_Iter","*>SVR_MIMO
*>SVR_Iter
*>MLP_MIMO"
H9,Rank,SVR_MIMO,SVR_Iter,SVR_Dir,MLP_MIMO,MLP_Iter,MLP_Dir
H9,Sig,,,*>SVR_MIMO,*>SVR_MIMO,"*>SVR_MIMO
*>SVR_Iter","*>SVR_MIMO
*>SVR_Iter"
H10,Rank,SVR_MIMO,SVR_Iter,MLP_MIMO,SVR_Dir,MLP_Iter,MLP_Dir
H10,Sig,,*>SVR_MIMO,*>SVR_MIMO,*>SVR_MIMO,"*>SVR_MIMO
*>SVR_Iter
*>MLP_MIMO","*>SVR_MIMO
*>SVR_Iter
*>MLP_MIMO
*>SVR_Dir"
