Horizon,item,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6
H2,Rank,SVR_Iter,SVR_Dir,MLP_Iter,SVR_MIMO,MLP_Dir,MLP_MIMO
H2,Sig,,,,,*>SVR_Iter,*>SVR_Iter
H3,Rank,SVR_Iter,MLP_Iter,SVR_MIMO,SVR_Dir,MLP_Dir,MLP_MIMO
H3,Sig,,,,*>SVR_Iter,*>SVR_Iter,*>SVR_Iter
H4,Rank,MLP_MIMO,MLP_Iter,SVR_MIMO,MLP_Dir,SVR_Iter,SVR_Dir
H4,Sig,,,,,,"*>MLP_MIMO
*>MLP_Iter
*>SVR_MIMO"
H5,Rank,SVR_Iter,MLP_MIMO,SVR_MIMO,MLP_Dir,MLP_Iter,SVR_Dir
H5,Sig,,,,,"*>SVR_Iter
*>MLP_MIMO
*>SVR_MIMO","*>SVR_Iter
*>MLP_MIMO
*>SVR_MIMO"
H6,Rank,MLP_MIMO,SVR_Iter,SVR_MIMO,MLP_Dir,MLP_Iter,SVR_Dir
H6,Sig,,,,,,"*>MLP_MIMO
*>SVR_Iter
*>SVR_MIMO
*>MLP_Dir
*>MLP_Iter"
H7,Rank,MLP_MIMO,SVR_Iter,MLP_Dir,SVR_MIMO,MLP_Iter,SVR_Dir
H7,Sig,,,,,,"*>MLP_MIMO
*>SVR_Iter
*>MLP_Dir
*>SVR_MIMO
*>MLP_Iter"
H8,Rank,MLP_MIMO,SVR_Iter,MLP_Dir,SVR_MIMO,MLP_Iter,SVR_Dir
H8,Sig,,,,,*>MLP_MIMO,"*>MLP_MIMO
*>SVR_Iter
*>MLP_Dir
*>SVR_MIMO
*>MLP_Iter"
H9,Rank,MLP_MIMO,MLP_Dir,SVR_Iter,SVR_MIMO,MLP_Iter,SVR_Dir
H9,Sig,,,,,,"*>MLP_MIMO
*>MLP_Dir
*>SVR_Iter
*>SVR_MIMO
*>MLP_Iter"
H10,Rank,MLP_MIMO,MLP_Dir,SVR_MIMO,SVR_Iter,MLP_Iter,SVR_Dir
H10,Sig,,,,,,"*>MLP_MIMO
*>MLP_Dir
*>SVR_MIMO
*>SVR_Iter
*>MLP_Iter"
