Horizon,item,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6
H2,Rank,MLP_Iter,SVR_MIMO,SVR_Dir,SVR_Iter,MLP_Dir,MLP_MIMO
H2,Sig,,,,,,*>MLP_Iter
H3,Rank,SVR_Iter,SVR_MIMO,MLP_Iter,SVR_Dir,MLP_Dir,MLP_MIMO
H3,Sig,,,,,,*>SVR_Iter
H4,Rank,SVR_MIMO,MLP_Iter,MLP_MIMO,SVR_Iter,MLP_Dir,SVR_Dir
H4,Sig,,,,,,"*>SVR_MIMO
*>MLP_Iter
*>SVR_Iter"
H5,Rank,SVR_MIMO,SVR_Iter,MLP_MIMO,SVR_Dir,MLP_Dir,MLP_Iter
H5,Sig,,,,"*>SVR_MIMO
*>SVR_Iter","*>SVR_MIMO
*>SVR_Iter","*>SVR_MIMO
*>SVR_Iter
*>MLP_MIMO"
H6,Rank,SVR_Iter,SVR_MIMO,MLP_MIMO,MLP_Iter,MLP_Dir,SVR_Dir
H6,Sig,,,*>SVR_MIMO,"*>SVR_Iter
*>SVR_MIMO","*>SVR_Iter
*>SVR_MIMO","*>SVR_Iter
*>SVR_MIMO"
H7,Rank,SVR_Iter,SVR_MIMO,MLP_MIMO,MLP_Iter,MLP_Dir,SVR_Dir
H7,Sig,,,,"*>SVR_Iter
*>SVR_MIMO","*>SVR_Iter
*>SVR_MIMO","*>SVR_Iter
*>SVR_MIMO
*>MLP_MIMO"
H8,Rank,SVR_MIMO,SVR_Iter,MLP_MIMO,MLP_Iter,MLP_Dir,SVR_Dir
H8,Sig,,,,*>SVR_MIMO,"*>SVR_MIMO
*>SVR_Iter
*>MLP_MIMO","*>SVR_MIMO
*>SVR_Iter
*>MLP_MIMO
*>MLP_Iter"
H9,Rank,SVR_MIMO,SVR_Iter,MLP_MIMO,MLP_Iter,MLP_Dir,SVR_Dir
H9,Sig,,,*>SVR_MIMO,*>SVR_MIMO,"*>SVR_MIMO
*>SVR_Iter","*>SVR_MIMO
*>SVR_Iter
*>MLP_MIMO
*>MLP_Iter"
H10,Rank,SVR_MIMO,MLP_MIMO,SVR_Iter,MLP_Iter,MLP_Dir,SVR_Dir
H10,Sig,,,,*>SVR_MIMO,"*>SVR_MIMO
*>MLP_MIMO
*>SVR_Iter
*>MLP_Iter","*>SVR_MIMO
*>MLP_MIMO
*>SVR_Iter
*>MLP_Iter"
