Horizon,item,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6
H2,Rank,MLP_MIMO,SVR_Dir,MLP_Iter,SVR_Iter,MLP_Dir,SVR_MIMO
H2,Sig,,,,"*>MLP_MIMO
*>SVR_Dir","*>MLP_MIMO
*>SVR_Dir
*>MLP_Iter","*>MLP_MIMO
*>SVR_Dir
*>MLP_Iter"
H3,Rank,MLP_MIMO,SVR_MIMO,SVR_Dir,SVR_Iter,MLP_Dir,MLP_Iter
H3,Sig,,,*>MLP_MIMO,*>MLP_MIMO,"*>MLP_MIMO
*>SVR_MIMO
*>SVR_Dir","*>MLP_MIMO
*>SVR_MIMO
*>SVR_Dir
*>SVR_Iter"
H4,Rank,SVR_MIMO,MLP_MIMO,SVR_Dir,MLP_Iter,SVR_Iter,MLP_Dir
H4,Sig,,,,*>SVR_MIMO,"*>SVR_MIMO
*>MLP_MIMO
*>SVR_Dir
*>MLP_Iter","*>SVR_MIMO
*>MLP_MIMO
*>SVR_Dir
*>MLP_Iter"
H5,Rank,SVR_MIMO,MLP_MIMO,SVR_Dir,MLP_Iter,SVR_Iter,MLP_Dir
H5,Sig,,,*>SVR_MIMO,*>SVR_MIMO,"*>SVR_MIMO
*>MLP_MIMO
*>SVR_Dir","*>SVR_MIMO
*>MLP_MIMO
*>SVR_Dir
*>MLP_Iter"
H6,Rank,MLP_MIMO,SVR_MIMO,MLP_Iter,SVR_Dir,SVR_Iter,MLP_Dir
H6,Sig,,,,"*>MLP_MIMO
*>SVR_MIMO","*>MLP_MIMO
*>SVR_MIMO","*>MLP_MIMO
*>SVR_MIMO
*>MLP_Iter
*>SVR_Dir"
H7,Rank,SVR_MIMO,MLP_Iter,SVR_Dir,SVR_Iter,MLP_MIMO,MLP_Dir
H7,Sig,,,*>SVR_MIMO,*>SVR_MIMO,"*>SVR_MIMO
*>MLP_Iter","*>SVR_MIMO
*>MLP_Iter
*>SVR_Dir
*>SVR_Iter"
H8,Rank,MLP_MIMO,MLP_Iter,SVR_Dir,SVR_MIMO,SVR_Iter,MLP_Dir
H8,Sig,,,,"*>MLP_MIMO
*>MLP_Iter","*>MLP_MIMO
*>MLP_Iter
*>SVR_Dir","*>MLP_MIMO
*>MLP_Iter
*>SVR_Dir"
H9,Rank,SVR_MIMO,MLP_Iter,SVR_Dir,SVR_Iter,MLP_MIMO,MLP_Dir
H9,Sig,,,,*>SVR_MIMO,"*>SVR_MIMO
*>MLP_Iter","*>SVR_MIMO
*>MLP_Iter
*>SVR_Dir
*>SVR_Iter"
H10,Rank,MLP_MIMO,MLP_Iter,SVR_Dir,SVR_Iter,SVR_MIMO,MLP_Dir
H10,Sig,,,,*>MLP_MIMO,"*>MLP_MIMO
*>MLP_Iter","*>MLP_MIMO
*>MLP_Iter
*>SVR_Dir
*>SVR_Iter"
