Horizon,item,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6
H2,Rank,MLP_MIMO,MLP_Iter,SVR_Dir,MLP_Dir,SVR_Iter,SVR_MIMO
H2,Sig,,,,*>MLP_MIMO,,"*>MLP_MIMO
*>MLP_Iter
*>SVR_Dir
*>MLP_Dir
*>SVR_Iter"
H3,Rank,MLP_MIMO,MLP_Iter,MLP_Dir,SVR_Iter,SVR_Dir,SVR_MIMO
H3,Sig,,,,,"*>MLP_MIMO
*>MLP_Iter","*>MLP_MIMO
*>MLP_Iter
*>MLP_Dir"
H4,Rank,MLP_Iter,MLP_MIMO,MLP_Dir,SVR_MIMO,SVR_Iter,SVR_Dir
H4,Sig,,,,"*>MLP_Iter
*>MLP_MIMO
*>MLP_Dir","*>MLP_Iter
*>MLP_MIMO
*>MLP_Dir","*>MLP_Iter
*>MLP_MIMO
*>MLP_Dir"
H5,Rank,MLP_Iter,MLP_MIMO,MLP_Dir,SVR_MIMO,SVR_Iter,SVR_Dir
H5,Sig,,,,"*>MLP_Iter
*>MLP_MIMO","*>MLP_Iter
*>MLP_MIMO","*>MLP_Iter
*>MLP_MIMO
*>MLP_Dir"
H6,Rank,MLP_Iter,MLP_MIMO,MLP_Dir,SVR_Iter,SVR_MIMO,SVR_Dir
H6,Sig,,,,"*>MLP_Iter
*>MLP_MIMO","*>MLP_Iter
*>MLP_MIMO","*>MLP_Iter
*>MLP_MIMO
*>MLP_Dir"
H7,Rank,MLP_Iter,MLP_MIMO,MLP_Dir,SVR_MIMO,SVR_Dir,SVR_Iter
H7,Sig,,,,*>MLP_Iter,"*>MLP_Iter
*>MLP_MIMO
*>MLP_Dir","*>MLP_Iter
*>MLP_MIMO
*>MLP_Dir"
H8,Rank,MLP_Iter,MLP_Dir,MLP_MIMO,SVR_Iter,SVR_Dir,SVR_MIMO
H8,Sig,,,,"*>MLP_Iter
*>MLP_Dir","*>MLP_Iter
*>MLP_Dir
*>MLP_MIMO","*>MLP_Iter
*>MLP_Dir
*>MLP_MIMO"
H9,Rank,MLP_Dir,MLP_Iter,SVR_MIMO,SVR_Dir,SVR_Iter,MLP_MIMO
H9,Sig,,,*>MLP_Dir,"*>MLP_Dir
*>MLP_Iter","*>MLP_Dir
*>MLP_Iter","*>MLP_Dir
*>MLP_Iter"
H10,Rank,MLP_Dir,MLP_MIMO,MLP_Iter,SVR_MIMO,SVR_Dir,SVR_Iter
H10,Sig,,,,*>MLP_Dir,"*>MLP_Dir
*>MLP_MIMO
*>MLP_Iter","*>MLP_Dir
*>MLP_MIMO
*>MLP_Iter"
